disease	drug	proximity	pval
Arthritis, Gouty	2-mercaptobenzothiazole	3	0.729969330069761
Arthritis, Gouty	5-o-phosphono-alpha-d-ribofuranosyl diphosphate	2	0.152138224240682
Arthritis, Gouty	5cocktail	2.33333333333333	0.808780545703117
Arthritis, Gouty	abacavir	2	0.599239516386724
Arthritis, Gouty	abaloparatide	2	0.31708579333799
Arthritis, Gouty	abarelix	3	0.754537219266652
Arthritis, Gouty	abatacept	2.5	0.668364489897296
Arthritis, Gouty	abciximab	1.61538461538462	4.51773466662512e-08
Arthritis, Gouty	abemaciclib	2	0.646983895409129
Arthritis, Gouty	abiraterone	3	0.980182760666826
Arthritis, Gouty	acalabrutinib	1	2.08137521949324e-23
Arthritis, Gouty	acamprosate	2.47619047619048	0.767312167140752
Arthritis, Gouty	acarbose	2.5	0.51580805555207
Arthritis, Gouty	acebutolol	2.5	0.995045606094975
Arthritis, Gouty	aceclofenac	2.5	0.879160118403911
Arthritis, Gouty	acemetacin	2.5	0.810329847560024
Arthritis, Gouty	acenocoumarol	3	0.999629802235297
Arthritis, Gouty	acetaminophen	2.25	0.618255356377613
Arthritis, Gouty	acetazolamide	2.71428571428571	0.963689184427441
Arthritis, Gouty	acetohexamide	2	0.277669818423777
Arthritis, Gouty	acetohydroxamic acid	3	0.869174454705882
Arthritis, Gouty	acetophenazine	2.66666666666667	0.996213885928121
Arthritis, Gouty	acetylcholine	2.83333333333333	0.996517858049672
Arthritis, Gouty	acetylcysteine	2	0.15776056636257
Arthritis, Gouty	acetyldigitoxin	2	0.590280184349119
Arthritis, Gouty	acetylsalicylic acid	1.92857142857143	0.0399449517253008
Arthritis, Gouty	acitretin	2	0.396931931866263
Arthritis, Gouty	aclidinium	3	0.995940480841461
Arthritis, Gouty	acrivastine	2	0.262421470906054
Arthritis, Gouty	adalimumab	2	0.5
Arthritis, Gouty	adapalene	2	0.425326542842873
Arthritis, Gouty	ademetionine	2.125	0.18297920234124
Arthritis, Gouty	adenine	2.16666666666667	0.581311689099653
Arthritis, Gouty	adenosine	2.75	0.956932672394496
Arthritis, Gouty	adenosine phosphate	2.13333333333333	0.232426626683764
Arthritis, Gouty	afamelanotide	2	0.361465072788483
Arthritis, Gouty	afatinib	1.66666666666667	0.0932171893672553
Arthritis, Gouty	aflibercept	2.66666666666667	0.859492427064479
Arthritis, Gouty	agkistrodon piscivorus antivenin	3	0.772727937563639
Arthritis, Gouty	agomelatine	2.66666666666667	0.98000443499584
