disease	drug	proximity	pval
Arthritis, Infectious	2-mercaptobenzothiazole	3	0.908745898470643
Arthritis, Infectious	5-o-phosphono-alpha-d-ribofuranosyl diphosphate	1.66666666666667	0.134464637684112
Arthritis, Infectious	5cocktail	1.75	0.0777554247531867
Arthritis, Infectious	abacavir	0	0.159871187246137
Arthritis, Infectious	abaloparatide	2	0.5
Arthritis, Infectious	abarelix	3	0.935973752414423
Arthritis, Infectious	abatacept	2.5	0.978943907343493
Arthritis, Infectious	abciximab	1.92307692307692	0.599721564869051
Arthritis, Infectious	abemaciclib	1.5	0.448466639612347
Arthritis, Infectious	abiraterone	2	0.667945862951247
Arthritis, Infectious	acalabrutinib	1	0.155031410571942
Arthritis, Infectious	acamprosate	2.19047619047619	0.912205027567122
Arthritis, Infectious	acarbose	2.25	0.686462759920829
Arthritis, Infectious	acebutolol	1.5	0.514500770874588
Arthritis, Infectious	aceclofenac	2	0.666155239894443
Arthritis, Infectious	acemetacin	2	0.691462461274013
Arthritis, Infectious	acenocoumarol	2	0.82561461744185
Arthritis, Infectious	acetaminophen	1.75	0.495221141142332
Arthritis, Infectious	acetazolamide	2.14285714285714	0.660013509650861
Arthritis, Infectious	acetohexamide	2	0.532482826449721
Arthritis, Infectious	acetohydroxamic acid	2	0.398789028222759
Arthritis, Infectious	acetophenazine	1.66666666666667	0.537771279449455
Arthritis, Infectious	acetylcholine	2.16666666666667	0.831297761188296
Arthritis, Infectious	acetylcysteine	1.8	0.667266458423245
Arthritis, Infectious	acetyldigitoxin	1	0.0642720250089849
Arthritis, Infectious	acetylsalicylic acid	1.64285714285714	0.936266256208881
Arthritis, Infectious	acitretin	1.42857142857143	0.110649550542568
Arthritis, Infectious	aclidinium	2.4	0.981119155871765
Arthritis, Infectious	acrivastine	1	8.19150375277269e-07
Arthritis, Infectious	adalimumab	0	0.00267644239054901
Arthritis, Infectious	adapalene	1.42857142857143	0.107927152750883
Arthritis, Infectious	ademetionine	2	0.471229873665545
Arthritis, Infectious	adenine	1.83333333333333	0.526903014458408
Arthritis, Infectious	adenosine	2	0.441043549731138
Arthritis, Infectious	adenosine phosphate	1.8	0.544865074396169
Arthritis, Infectious	afamelanotide	2	0.649739785701631
Arthritis, Infectious	afatinib	1.33333333333333	0.610462983720318
Arthritis, Infectious	aflibercept	2	0.553243436979144
Arthritis, Infectious	agkistrodon piscivorus antivenin	3	0.896751771167229
Arthritis, Infectious	agomelatine	2	0.688189441557923
Arthritis, Infectious	ajmaline	2	0.607564331445103
Arthritis, Infectious	albendazole	1	0.320545910980988
Arthritis, Infectious	albiglutide	2	0.806261057812155
Arthritis, Infectious	albutrepenonacog alfa	2	0.667945862951247
Arthritis, Infectious	alcaftadine	1	0.000109654864703868
Arthritis, Infectious	alclofenac	2	0.706709131192249
Arthritis, Infectious	alclometasone	1	0.337981481399644
Arthritis, Infectious	aldesleukin	1.33333333333333	0.0149716060850236
Arthritis, Infectious	alectinib	2	0.869174454705882
Arthritis, Infectious	alefacept	1.9	0.324607522565082
Arthritis, Infectious	alemtuzumab	1.9	0.175885619097403
Arthritis, Infectious	alendronic acid	1.8	0.473660257709202
Arthritis, Infectious	alfacalcidol	0.5	0.0078474022322124
Arthritis, Infectious	alfentanil	2	0.679454089019012
Arthritis, Infectious	alfuzosin	1.75	0.17847839402161
Arthritis, Infectious	alglucosidase alfa	2	0.655955893774368
Arthritis, Infectious	alimemazine	1	3.41823552009094e-06
Arthritis, Infectious	alirocumab	2	0.601210971777241
Arthritis, Infectious	aliskiren	3	0.999983887166237
Arthritis, Infectious	alitretinoin	1.55555555555556	0.0753878607609154
Arthritis, Infectious	allopurinol	2	0.397363447230139
Arthritis, Infectious	almitrine	1	0.087559238440391
Arthritis, Infectious	almotriptan	2.5	0.937719388019814
Arthritis, Infectious	alogliptin	2	0.706709131192249
Arthritis, Infectious	alosetron	2	0.382088577811047
