disease	drug	proximity	pval
Arthritis, Juvenile Rheumatoid	2-mercaptobenzothiazole	3	0.999862737166056
Arthritis, Juvenile Rheumatoid	5-o-phosphono-alpha-d-ribofuranosyl diphosphate	1.33333333333333	0.0226421482720282
Arthritis, Juvenile Rheumatoid	5cocktail	1.5	0.0159980143806222
Arthritis, Juvenile Rheumatoid	abacavir	0	0.207838699590591
Arthritis, Juvenile Rheumatoid	abaloparatide	2	0.704237510086487
Arthritis, Juvenile Rheumatoid	abarelix	2	0.411941065699398
Arthritis, Juvenile Rheumatoid	abatacept	0.5	3.67906982563153e-10
Arthritis, Juvenile Rheumatoid	abciximab	1.61538461538462	0.122588457653674
Arthritis, Juvenile Rheumatoid	abemaciclib	0.5	0.137546188317945
Arthritis, Juvenile Rheumatoid	abiraterone	2	0.602636552769861
Arthritis, Juvenile Rheumatoid	acalabrutinib	1	0.332054137048753
Arthritis, Juvenile Rheumatoid	acamprosate	1.95238095238095	0.636144280562698
Arthritis, Juvenile Rheumatoid	acarbose	1.5	0.00174931615201128
Arthritis, Juvenile Rheumatoid	acebutolol	1	0.194308544462939
Arthritis, Juvenile Rheumatoid	aceclofenac	2	0.737075105632517
Arthritis, Juvenile Rheumatoid	acemetacin	2	0.730114899667302
Arthritis, Juvenile Rheumatoid	acenocoumarol	1	0.218002487463221
Arthritis, Juvenile Rheumatoid	acetaminophen	1.75	0.633135002151876
Arthritis, Juvenile Rheumatoid	acetazolamide	2	0.637093254980052
Arthritis, Juvenile Rheumatoid	acetohexamide	2	0.663277068561605
Arthritis, Juvenile Rheumatoid	acetohydroxamic acid	2	0.608710552977649
Arthritis, Juvenile Rheumatoid	acetophenazine	1.33333333333333	0.222089657561552
Arthritis, Juvenile Rheumatoid	acetylcholine	1.83333333333333	0.223064116881266
Arthritis, Juvenile Rheumatoid	acetylcysteine	1.6	0.537449403712529
Arthritis, Juvenile Rheumatoid	acetyldigitoxin	1	0.232658061024763
Arthritis, Juvenile Rheumatoid	acetylsalicylic acid	1.42857142857143	0.753720235451004
Arthritis, Juvenile Rheumatoid	acitretin	1.14285714285714	0.0487199036481533
Arthritis, Juvenile Rheumatoid	aclidinium	1.8	0.143111577524079
Arthritis, Juvenile Rheumatoid	acrivastine	1	6.11031905461104e-09
Arthritis, Juvenile Rheumatoid	adalimumab	0	0.00988956202926295
Arthritis, Juvenile Rheumatoid	adapalene	1.14285714285714	0.0326749355284835
Arthritis, Juvenile Rheumatoid	ademetionine	1.625	0.0597577751677782
Arthritis, Juvenile Rheumatoid	adenine	1.5	0.15776056636257
Arthritis, Juvenile Rheumatoid	adenosine	1.25	0.00157680774330576
Arthritis, Juvenile Rheumatoid	adenosine phosphate	1.6	0.327325721779398
Arthritis, Juvenile Rheumatoid	afamelanotide	2	0.648476303192096
Arthritis, Juvenile Rheumatoid	afatinib	1	0.203428523821845
Arthritis, Juvenile Rheumatoid	aflibercept	2.66666666666667	0.99997797722792
Arthritis, Juvenile Rheumatoid	agkistrodon piscivorus antivenin	3	0.985067608337573
Arthritis, Juvenile Rheumatoid	agomelatine	2	0.800859088180412
Arthritis, Juvenile Rheumatoid	ajmaline	2	0.701397079231245
Arthritis, Juvenile Rheumatoid	albendazole	1	0.392435668554897
Arthritis, Juvenile Rheumatoid	albiglutide	2	0.81593987465324
Arthritis, Juvenile Rheumatoid	albutrepenonacog alfa	2	0.732140643904647
Arthritis, Juvenile Rheumatoid	alcaftadine	1	0.00495439390502486
Arthritis, Juvenile Rheumatoid	alclofenac	2	0.777123544639358
Arthritis, Juvenile Rheumatoid	aldesleukin	0.666666666666667	9.00090817289435e-05
Arthritis, Juvenile Rheumatoid	alectinib	1	0.18406012534676
