disease	drug	proximity	pval
Arthritis, Rheumatoid	2-mercaptobenzothiazole	2	0.582236563438162
Arthritis, Rheumatoid	5-o-phosphono-alpha-d-ribofuranosyl diphosphate	1	0.126306832321692
Arthritis, Rheumatoid	5cocktail	0.75	0.000386375438972984
Arthritis, Rheumatoid	abacavir	0	0.130825545294118
Arthritis, Rheumatoid	abaloparatide	2	0.950917309563736
Arthritis, Rheumatoid	abarelix	2	0.642821746770719
Arthritis, Rheumatoid	abatacept	0	0.000332996536393762
Arthritis, Rheumatoid	abciximab	0.307692307692308	2.5930499439749e-10
Arthritis, Rheumatoid	abemaciclib	0.5	0.0552969427903502
Arthritis, Rheumatoid	abiraterone	0	0.0089910899178126
Arthritis, Rheumatoid	acalabrutinib	1	0.643348413060771
Arthritis, Rheumatoid	acamprosate	1.66666666666667	0.945337004039322
Arthritis, Rheumatoid	acarbose	1.25	0.0940572355329785
Arthritis, Rheumatoid	acebutolol	0	0.00177735641065568
Arthritis, Rheumatoid	aceclofenac	0	0.00104425150519584
Arthritis, Rheumatoid	acemetacin	0	0.000424064607222689
Arthritis, Rheumatoid	acenocoumarol	0	0.0199688854130538
Arthritis, Rheumatoid	acetaminophen	0.5	0.00076703953099035
Arthritis, Rheumatoid	acetazolamide	1.57142857142857	0.621553255191248
Arthritis, Rheumatoid	acetohexamide	1	0.290976804233318
Arthritis, Rheumatoid	acetohydroxamic acid	0	0.007713034344138
Arthritis, Rheumatoid	acetophenazine	0.666666666666667	0.135854678283582
Arthritis, Rheumatoid	acetylcholine	1.33333333333333	0.323471603880392
Arthritis, Rheumatoid	acetylcysteine	0.9	0.271167561223949
Arthritis, Rheumatoid	acetyldigitoxin	1	0.629927932097713
Arthritis, Rheumatoid	acetylsalicylic acid	0.714285714285714	0.000211210561941542
Arthritis, Rheumatoid	acitretin	1.14285714285714	0.943832298588054
Arthritis, Rheumatoid	aclidinium	1.4	0.266321945128802
Arthritis, Rheumatoid	acrivastine	1	0.254586591660958
Arthritis, Rheumatoid	adalimumab	0	7.66904909597165e-09
Arthritis, Rheumatoid	adapalene	0.857142857142857	0.207518591871623
Arthritis, Rheumatoid	ademetionine	1.625	0.9367110187206
Arthritis, Rheumatoid	adenine	1	0.118635054338924
Arthritis, Rheumatoid	adenosine	0.5	0.000362947370753549
Arthritis, Rheumatoid	adenosine phosphate	1.4	0.931777489672151
Arthritis, Rheumatoid	afamelanotide	1	0.433031969448293
Arthritis, Rheumatoid	afatinib	0.666666666666667	0.599239516386724
Arthritis, Rheumatoid	aflibercept	0.666666666666667	0.00441759382286135
Arthritis, Rheumatoid	agkistrodon piscivorus antivenin	3	0.985106459294717
Arthritis, Rheumatoid	agomelatine	0.333333333333333	0.000900302204827618
Arthritis, Rheumatoid	ajmaline	1	0.453959046709007
Arthritis, Rheumatoid	albiglutide	2	0.999697413868731
Arthritis, Rheumatoid	albutrepenonacog alfa	1	0.517763715333372
