disease	drug	proximity	pval
Arthritis, Infectious	2-mercaptobenzothiazole	3	0.908745898
Arthritis, Infectious	5-o-phosphono-alpha-d-ribofuranosyl diphosphate	1.666666667	0.134464638
Arthritis, Infectious	5cocktail	1.75	0.077755425
Arthritis, Infectious	abacavir	0	0.159871187
Arthritis, Infectious	abaloparatide	2	0.5
Arthritis, Infectious	abarelix	3	0.935973752
Arthritis, Infectious	abatacept	2.5	0.978943907
Arthritis, Infectious	abciximab	1.923076923	0.599721565
Arthritis, Infectious	abemaciclib	1.5	0.44846664
Arthritis, Infectious	abiraterone	2	0.667945863
Arthritis, Infectious	acalabrutinib	1	0.155031411
Arthritis, Infectious	acamprosate	2.19047619	0.912205028
Arthritis, Infectious	acarbose	2.25	0.68646276
Arthritis, Infectious	acebutolol	1.5	0.514500771
Arthritis, Infectious	aceclofenac	2	0.66615524
Arthritis, Infectious	acemetacin	2	0.691462461
Arthritis, Infectious	acenocoumarol	2	0.825614617
Arthritis, Infectious	acetaminophen	1.75	0.495221141
Arthritis, Infectious	acetazolamide	2.142857143	0.66001351
Arthritis, Infectious	acetohexamide	2	0.532482826
Arthritis, Infectious	acetohydroxamic acid	2	0.398789028
Arthritis, Infectious	acetophenazine	1.666666667	0.537771279
Arthritis, Infectious	acetylcholine	2.166666667	0.831297761
Arthritis, Infectious	acetylcysteine	1.8	0.667266458
Arthritis, Infectious	acetyldigitoxin	1	0.064272025
Arthritis, Infectious	acetylsalicylic acid	1.642857143	0.936266256
Arthritis, Infectious	acitretin	1.428571429	0.110649551
Arthritis, Infectious	aclidinium	2.4	0.981119156
Arthritis, Infectious	acrivastine	1	8.19E-07
Arthritis, Infectious	adalimumab	0	0.002676442
Arthritis, Infectious	adapalene	1.428571429	0.107927153
Arthritis, Infectious	ademetionine	2	0.471229874
Arthritis, Infectious	adenine	1.833333333	0.526903014
Arthritis, Infectious	adenosine	2	0.44104355
Arthritis, Infectious	adenosine phosphate	1.8	0.544865074
Arthritis, Infectious	afamelanotide	2	0.649739786
Arthritis, Infectious	afatinib	1.333333333	0.610462984
Arthritis, Infectious	aflibercept	2	0.553243437
Arthritis, Infectious	agkistrodon piscivorus antivenin	3	0.896751771
Arthritis, Infectious	agomelatine	2	0.688189442
Arthritis, Infectious	ajmaline	2	0.607564331
Arthritis, Infectious	albendazole	1	0.320545911
Arthritis, Infectious	albiglutide	2	0.806261058
Arthritis, Infectious	albutrepenonacog alfa	2	0.667945863
Arthritis, Infectious	alcaftadine	1	0.000109655
Arthritis, Infectious	alclofenac	2	0.706709131
Arthritis, Infectious	alclometasone	1	0.337981481
Arthritis, Infectious	aldesleukin	1.333333333	0.014971606
Arthritis, Infectious	alectinib	2	0.869174455
Arthritis, Infectious	alefacept	1.9	0.324607523
Arthritis, Infectious	alemtuzumab	1.9	0.175885619
Arthritis, Infectious	alendronic acid	1.8	0.473660258
Arthritis, Infectious	alfacalcidol	0.5	0.007847402
Arthritis, Infectious	alfentanil	2	0.679454089
Arthritis, Infectious	alfuzosin	1.75	0.178478394
Arthritis, Infectious	alglucosidase alfa	2	0.655955894
Arthritis, Infectious	alimemazine	1	3.42E-06
Arthritis, Infectious	alirocumab	2	0.601210972
Arthritis, Infectious	aliskiren	3	0.999983887
Arthritis, Infectious	alitretinoin	1.555555556	0.075387861
Arthritis, Infectious	allopurinol	2	0.397363447
Arthritis, Infectious	almitrine	1	0.087559238
Arthritis, Infectious	almotriptan	2.5	0.937719388
Arthritis, Infectious	alogliptin	2	0.706709131
Arthritis, Infectious	alosetron	2	0.382088578
Arthritis, Infectious	alpelisib	1	0.169547988
Arthritis, Infectious	alpha-1-proteinase inhibitor	2	0.701397079
Arthritis, Infectious	alpha-linolenic acid	1.8	0.394925173
Arthritis, Infectious	alpha-tocopherol succinate	1.666666667	0.413118039
Arthritis, Infectious	alprazolam	2.142857143	0.359283917
Arthritis, Infectious	alprostadil	2.333333333	0.847861776
Arthritis, Infectious	alteplase	2	0.866969794
Arthritis, Infectious	aluminium	1.75	0.685059521
Arthritis, Infectious	aluminium phosphate	1.75	0.754537219
Arthritis, Infectious	aluminum acetate	1.75	0.765454762
Arthritis, Infectious	aluminum chloride	1	0.042410927
Arthritis, Infectious	alverine	2	0.545204053
Arthritis, Infectious	alvimopan	2	0.763935699
Arthritis, Infectious	amantadine	2.2	0.895067181
Arthritis, Infectious	ambenonium	2	0.586197071
Arthritis, Infectious	ambrisentan	2	0.655955894
Arthritis, Infectious	amcinonide	1.5	0.777910342
Arthritis, Infectious	amifampridine	2	0.5
Arthritis, Infectious	amifostine	2.5	0.812374782
Arthritis, Infectious	amiloride	2.125	0.903537705
Arthritis, Infectious	aminocaproic acid	2	0.825024714
Arthritis, Infectious	aminoglutethimide	2	0.347131708
Arthritis, Infectious	aminolevulinic acid	2	0.649739786
Arthritis, Infectious	aminophylline	1.75	0.542535818
Arthritis, Infectious	aminosalicylic acid	1.666666667	0.336243941
Arthritis, Infectious	amiodarone	1.857142857	0.637377718
Arthritis, Infectious	amisulpride	2	0.864889475
Arthritis, Infectious	amitriptyline	2.09375	0.946787227
Arthritis, Infectious	amlexanox	2	0.416344786
Arthritis, Infectious	amlodipine	2.285714286	0.962850738
Arthritis, Infectious	amobarbital	2.2	0.731670661
Arthritis, Infectious	amodiaquine	2	0.39862619
