disease	drug	proximity	pval	similarity	adjusted_similarity
Arthritis, Rheumatoid	5cocktail	0.75	0.000386375438972984	0.75	0.993240714802178
Arthritis, Rheumatoid	abatacept	0	0.000332996536393762	1	0.999953690253642
Arthritis, Rheumatoid	abciximab	0.307692307692308	2.5930499439749e-10	0.897435897435897	0.99964138747119
Arthritis, Rheumatoid	abiraterone	0	0.0089910899178126	1	0.999953690253642
Arthritis, Rheumatoid	acebutolol	0	0.00177735641065568	1	0.999953690253642
Arthritis, Rheumatoid	aceclofenac	0	0.00104425150519584	1	0.999953690253642
Arthritis, Rheumatoid	acemetacin	0	0.000424064607222689	1	0.999953690253642
Arthritis, Rheumatoid	acenocoumarol	0	0.0199688854130538	1	0.999953690253642
Arthritis, Rheumatoid	acetaminophen	0.5	0.00076703953099035	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	acetohydroxamic acid	0	0.007713034344138	1	0.999953690253642
Arthritis, Rheumatoid	acetylsalicylic acid	0.714285714285714	0.000211210561941542	0.761904761904762	0.994662667265133
Arthritis, Rheumatoid	adalimumab	0	7.66904909597165e-09	1	0.999953690253642
Arthritis, Rheumatoid	adenosine	0.5	0.000362947370753549	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	aflibercept	0.666666666666667	0.00441759382286135	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	agomelatine	0.333333333333333	0.000900302204827618	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	alclofenac	0	0.00173907999269577	1	0.999953690253642
Arthritis, Rheumatoid	aldesleukin	0.333333333333333	0.000221144619286982	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	alefacept	0	1.60916410666457e-18	1	0.999953690253642
Arthritis, Rheumatoid	alemtuzumab	0.1	1.68230863100621e-14	0.966666666666667	0.99990992438705
Arthritis, Rheumatoid	alogliptin	0	1.6982674071476e-07	1	0.999953690253642
Arthritis, Rheumatoid	alteplase	0.75	0.0415466377319888	0.75	0.993240714802178
Arthritis, Rheumatoid	ambrisentan	0.5	0.0232425048399819	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	aminocaproic acid	0.666666666666667	0.0201028406854263	0.777777777777778	0.996106348253381
Arthritis, Rheumatoid	aminoglutethimide	0.5	0.00373315563696858	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	aminophylline	0.5	0.000232266428389861	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	aminosalicylic acid	0.333333333333333	0.00819753592459612	0.888888888888889	0.999574707998722
Arthritis, Rheumatoid	amlexanox	1	0.045832352270726	0.666666666666667	0.965333637200135
Arthritis, Rheumatoid	amphetamine	1.17647058823529	0.0254804334595578	0.607843137254903	0.0198076533013004
Arthritis, Rheumatoid	amrinone	0.75	0.0232263467578417	0.75	0.993240714802178
Arthritis, Rheumatoid	anagrelide	0	0.00235702249885759	1	0.999953690253642
Arthritis, Rheumatoid	anakinra	0	0.0141365755117512	1	0.999953690253642
Arthritis, Rheumatoid	anastrozole	0	0.000537770559747784	1	0.999953690253642
Arthritis, Rheumatoid	ancestim	0	0.023296851685566	1	0.999953690253642
Arthritis, Rheumatoid	anti-inhibitor coagulant complex	0.625	0.00127708637346405	0.791666666666667	0.997046280265764
Arthritis, Rheumatoid	antipyrine	0	6.40462291700789e-05	1	0.999953690253642
Arthritis, Rheumatoid	antithrombin alfa	0.5	0.0469426653691375	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	antithymocyte immunoglobulin (rabbit)	0.444444444444444	1.00960052629684e-05	0.851851851851852	0.188223757347064
Arthritis, Rheumatoid	antrafenine	0	0.000116584785990849	1	0.999953690253642
Arthritis, Rheumatoid	aprepitant	0	0.016946622474652	1	0.999953690253642
Arthritis, Rheumatoid	arbutamine	0	0.000331077306600534	1	0.999953690253642
Arthritis, Rheumatoid	argatroban	0	0.0167088726204978	1	0.999953690253642
Arthritis, Rheumatoid	arsenic trioxide	0.7	0.00317314026637559	0.766666666666667	0.995144260454476
Arthritis, Rheumatoid	asenapine	1.10526315789474	0.0387604364148994	0.63157894736842	0.93253798657087
Arthritis, Rheumatoid	atenolol	0	0.0015147711304251	1	0.999953690253642
Arthritis, Rheumatoid	atezolizumab	0	0.00705701740035358	1	0.999953690253642
Arthritis, Rheumatoid	atovaquone	0	0.0250667285148313	1	0.999953690253642
Arthritis, Rheumatoid	avatrombopag	0.5	0.00264954058626479	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	avelumab	0	0.00458187869512901	1	0.999953690253642
Arthritis, Rheumatoid	axicabtagene ciloleucel	0	0.00397610514522009	1	0.999953690253642
Arthritis, Rheumatoid	azathioprine	0.5	0.000401652335492208	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	azithromycin	0	0.0183312539360592	1	0.999953690253642
Arthritis, Rheumatoid	balsalazide	0.25	0.000544636099006173	0.916666666666667	0.999755673275368
Arthritis, Rheumatoid	baricitinib	0.5	0.00244456361980624	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	basiliximab	0.0833333333333333	9.08665458644764e-19	0.972222222222222	0.999919378224139
Arthritis, Rheumatoid	belatacept	0	0.000227858394338549	1	0.999953690253642
Arthritis, Rheumatoid	belimumab	0	0.00329523259479362	1	0.999953690253642
Arthritis, Rheumatoid	benazepril	0	0.00742311490913355	1	0.999953690253642
Arthritis, Rheumatoid	bendazac	0	0.000179786360277753	1	0.999953690253642
Arthritis, Rheumatoid	benralizumab	0.5	0.0279233210938122	0.833333333333333	0.998712041224032
Arthritis, Rheumatoid	berberine	0	0.00512083709545472	1	0.999953690253642
