TTD_association_old	color test	TDD_ass
Wilson disease 	1	Wilson disease
Vitamin K deficiency 	1	Vitamin K deficiency
Vitamin E deficiency 	1	Vitamin E deficiency
Vitamin deficiency 	1	Vitamin deficiency
Vitamin D deficiency 	1	Vitamin D deficiency
Vitamin D deficiency 	1	Vitamin D deficiency
Vitamin B12 deficiency 	1	Vitamin B12 deficiency
Visceral leishmaniasis 	1	Visceral leishmaniasis
Virus infection 	1	Virus infection
Venous thromboembolism 	1	Venous thromboembolism
Vasculitis 	1	Vasculitis
Urticaria 	1	Urticaria
Urothelial carcinoma 	1	Urothelial carcinoma
Urinary tract infection 	1	Urinary tract infection
Urinary tract infection 	1	Urinary tract infection
Ulcerative colitis 	1	Ulcerative colitis
Ulcerative colitis 	1	Ulcerative colitis
Ulcer 	1	Ulcer
Type-2 diabetes 	1	Type-2 diabetes
Type-2 diabetes 	1	Type-2 diabetes
Type-2 diabetes 	1	Type-2 diabetes
Type-2 diabetes 	1	Type-2 diabetes
Type-2 diabetes 	1	Type-2 diabetes
Type-1/2 diabetes 	1	Type-1/2 diabetes
Type-1 diabetes 	1	Type-1 diabetes
Tumour 	1	Tumour
Tuberculosis 	1	Tuberculosis
Toxoplasmosis 	1	Toxoplasmosis
Thyroid cancer 	1	Thyroid cancer
Thrombosis 	1	Thrombosis
Thrombosis 	1	Thrombosis
Thrombosis 	1	Thrombosis
Thrombocytopenia 	1	Thrombocytopenia
Thrombocytopenia 	1	Thrombocytopenia
Thrombocytopenia 	1	Thrombocytopenia
Thrombocythemia 	1	Thrombocythemia
Thrombin deficiency 	1	Thrombin deficiency
Thrombin deficiency 	1	Thrombin deficiency
Tachyarrhythmias 	1	Tachyarrhythmias
Systemic sclerosis 	1	Systemic sclerosis
Systemic lupus erythematosus 	1	Systemic lupus erythematosus
Somatotropin deficiency 	1	Somatotropin deficiency
Solid tumour/cancer 	1	Solid tumour/cancer
Solid tumour/cancer 	1	Solid tumour/cancer
Solid tumour/cancer 	1	Solid tumour/cancer
Solid tumour/cancer 	1	Solid tumour/cancer
Solid tumour/cancer 	1	Solid tumour/cancer
Solid tumour/cancer 	1	Solid tumour/cancer
Solid tumour/cancer 	1	Solid tumour/cancer
Solid tumour/cancer 	1	Solid tumour/cancer
Solid tumour/cancer 	1	Solid tumour/cancer
Solid tumour/cancer 	1	Solid tumour/cancer
Skin cancer 	1	Skin cancer
Skin allergy 	1	Skin allergy
Sinus rhythm disorder 	1	Sinus rhythm disorder
Severe sepsis 	1	Severe sepsis
Sepsis 	1	Sepsis
Sciatica 	1	Sciatica
Schizophrenia 	1	Schizophrenia
Schizophrenia 	1	Schizophrenia
Schizophrenia 	1	Schizophrenia
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Rheumatoid arthritis 	1	Rheumatoid arthritis
Respiratory tract inflammation 	1	Respiratory tract inflammation
Respiratory syncytial virus infection 	1	Respiratory syncytial virus infection
Renal transplantation 	1	Renal transplantation
Renal cell carcinoma 	1	Renal cell carcinoma
Renal cell carcinoma 	1	Renal cell carcinoma
Rectal adenocarcinoma 	1	Rectal adenocarcinoma
Radionuclide imaging 	1	Radionuclide imaging
Pulmonary embolism 	1	Pulmonary embolism
Pulmonary embolism 	1	Pulmonary embolism
Pulmonary arterial hypertension 	1	Pulmonary arterial hypertension
Pulmonary arterial hypertension 	1	Pulmonary arterial hypertension
Pulmonary and extrapulmonary tuberculosis 	1	Pulmonary and extrapulmonary tuberculosis
Psychotic disorder 	1	Psychotic disorder
Psoriatic arthritis 	1	Psoriatic arthritis
Psoriatic arthritis 	1	Psoriatic arthritis
Psoriatic arthritis 	1	Psoriatic arthritis
Psoriasis vulgaris 	1	Psoriasis vulgaris
Psoriasis vulgaris 	1	Psoriasis vulgaris
Psoriasis vulgaris 	1	Psoriasis vulgaris
Prostate cancer 	1	Prostate cancer
Prostate cancer 	1	Prostate cancer
Prostate cancer 	1	Prostate cancer
Prostate cancer 	1	Prostate cancer
Primary mediastinal B-cell lymphoma 	1	Primary mediastinal B-cell lymphoma
Primary haemophagocytic lymphohistiocytosis 	1	Primary haemophagocytic lymphohistiocytosis
Premature labour 	1	Premature labour
Premature labour 	1	Premature labour
Postoperative inflammation 	1	Postoperative inflammation
Postoperative inflammation 	1	Postoperative inflammation
Postoperative hemorrhage 	1	Postoperative hemorrhage
Postmenopausal osteoporosis 	1	Postmenopausal osteoporosis
Postmenopausal osteoporosis 	1	Postmenopausal osteoporosis
Plaque psoriasis 	1	Plaque psoriasis
Plaque psoriasis 	1	Plaque psoriasis
Plaque psoriasis 	1	Plaque psoriasis
Plaque psoriasis 	1	Plaque psoriasis
Plaque psoriasis 	1	Plaque psoriasis
Plaque psoriasis 	1	Plaque psoriasis
Peripheral T-cell lymphoma 	1	Peripheral T-cell lymphoma
Peripheral T-cell lymphoma 	1	Peripheral T-cell lymphoma
Peptic ulcer 	1	Peptic ulcer
Peptic ulcer 	1	Peptic ulcer
Pemphigus vulgaris 	1	Pemphigus vulgaris
Pediculus capitis infestation 	1	Pediculus capitis infestation
Paroxysmal supraventricular tachycardia 	1	Paroxysmal supraventricular tachycardia
Paroxysmal nocturnal haemoglobinuria 	1	Paroxysmal nocturnal haemoglobinuria
Parkinson disease 	1	Parkinson disease
Pain 	1	Pain
Pain 	1	Pain
Pain 	1	Pain
Pain 	1	Pain
Pain 	1	Pain
Pain 	1	Pain
Pain 	1	Pain
Pain 	1	Pain
Pain 	1	Pain
Pain 	1	Pain
Pain 	1	Pain
Pain 	1	Pain
Overactive bladder 	1	Overactive bladder
Ovarian cancer 	1	Ovarian cancer
Osteoporosis 	1	Osteoporosis
Osteoarthritis 	1	Osteoarthritis
Osteoarthritis 	1	Osteoarthritis
Osteoarthritis 	1	Osteoarthritis
Osteoarthritis 	1	Osteoarthritis
Osteoarthritis 	1	Osteoarthritis
Osteoarthritis 	1	Osteoarthritis
Organ transplant rejection 	1	Organ transplant rejection
Organ transplant rejection 	1	Organ transplant rejection
Organ transplant rejection 	1	Organ transplant rejection
Open-angle glaucoma 	1	Open-angle glaucoma
Open-angle glaucoma 	1	Open-angle glaucoma
NSAID-associated gastric ulcer 	1	NSAID-associated gastric ulcer
Non-small-cell lung cancer 	1	Non-small-cell lung cancer
Non-small-cell lung cancer 	1	Non-small-cell lung cancer
Non-small-cell lung cancer 	1	Non-small-cell lung cancer
Non-small-cell lung cancer 	1	Non-small-cell lung cancer
Non-hodgkin lymphoma 	1	Non-hodgkin lymphoma
Non-hodgkin lymphoma 	1	Non-hodgkin lymphoma
Non-hodgkin lymphoma 	1	Non-hodgkin lymphoma
Non-hodgkin lymphoma 	1	Non-hodgkin lymphoma
