drug	proximity	pval	similarity	adjusted_similarity	TTD_association	TDD_ass
abatacept	0	0.000332997	1	0.99995369	Rheumatoid arthritis 	Rheumatoid arthritis
abciximab	0.307692308	2.59E-10	0.897435897	0.999641387	Angina pectoris 	Angina pectoris
abiraterone	0	0.00899109	1	0.99995369	Prostate cancer 	Prostate cancer
acebutolol	0	0.001777356	1	0.99995369	Hypertension 	Hypertension
aceclofenac	0	0.001044252	1	0.99995369	Inflammation 	Inflammation
acenocoumarol	0	0.019968885	1	0.99995369	Thrombosis 	Thrombosis
acetaminophen	0.5	0.00076704	0.833333333	0.998712041	Pain 	Pain
acetohydroxamic acid	0	0.007713034	1	0.99995369	Urinary tract infection 	Urinary tract infection
adalimumab	0	7.67E-09	1	0.99995369	Rheumatoid arthritis 	Rheumatoid arthritis
adenosine	0.5	0.000362947	0.833333333	0.998712041	Paroxysmal supraventricular tachycardia 	Paroxysmal supraventricular tachycardia
aflibercept	0.666666667	0.004417594	0.777777778	0.996106348	Metastatic colorectal cancer 	Metastatic colorectal cancer
alclofenac	0	0.00173908	1	0.99995369	Rheumatoid arthritis 	Rheumatoid arthritis
aldesleukin	0.333333333	0.000221145	0.888888889	0.999574708	Non-hodgkin lymphoma 	Non-hodgkin lymphoma
aldesleukin	0.333333333	0.000221145	0.888888889	0.999574708	Renal cell carcinoma 	Renal cell carcinoma
alefacept	0	1.61E-18	1	0.99995369	Pain 	Pain
alemtuzumab	0.1	1.68E-14	0.966666667	0.999909924	Chronic lymphocytic leukaemia 	Chronic lymphocytic leukaemia
alemtuzumab	0.1	1.68E-14	0.966666667	0.999909924	Multiple sclerosis 	Multiple sclerosis
alogliptin	0	1.70E-07	1	0.99995369	Type-2 diabetes 	Type-2 diabetes
alteplase	0.75	0.041546638	0.75	0.993240715	Pulmonary embolism 	Pulmonary embolism
ambrisentan	0.5	0.023242505	0.833333333	0.998712041	Pulmonary arterial hypertension 	Pulmonary arterial hypertension
aminocaproic acid	0.666666667	0.020102841	0.777777778	0.996106348	Bleeding disorder 	Bleeding disorder
aminocaproic acid	0.666666667	0.020102841	0.777777778	0.996106348	Postoperative hemorrhage 	Postoperative hemorrhage
aminoglutethimide	0.5	0.003733156	0.833333333	0.998712041	Cushing disease 	Cushing disease
aminophylline	0.5	0.000232266	0.833333333	0.998712041	Asthma 	Asthma
aminophylline	0.5	0.000232266	0.833333333	0.998712041	Bronchial asthma 	Bronchial asthma
