drug	proximity	pval	similarity	adjusted_similarity	TTD_association
abatacept	0	0.000332996536393762	1	0.999953690253642	Rheumatoid arthritis 
abciximab	0.307692307692308	2.5930499439749e-10	0.897435897435897	0.99964138747119	Angina pectoris 
abiraterone	0	0.0089910899178126	1	0.999953690253642	Prostate cancer 
acebutolol	0	0.00177735641065568	1	0.999953690253642	Hypertension 
aceclofenac	0	0.00104425150519584	1	0.999953690253642	Inflammation 
acenocoumarol	0	0.0199688854130538	1	0.999953690253642	Thrombosis 
acetaminophen	0.5	0.00076703953099035	0.833333333333333	0.998712041224032	Pain 
acetohydroxamic acid	0	0.007713034344138	1	0.999953690253642	Urinary tract infection 
adalimumab	0	7.66904909597165e-09	1	0.999953690253642	Rheumatoid arthritis 
adenosine	0.5	0.000362947370753549	0.833333333333333	0.998712041224032	Paroxysmal supraventricular tachycardia 
aflibercept	0.666666666666667	0.00441759382286135	0.777777777777778	0.996106348253381	Metastatic colorectal cancer 
alclofenac	0	0.00173907999269577	1	0.999953690253642	Rheumatoid arthritis 
aldesleukin	0.333333333333333	0.000221144619286982	0.888888888888889	0.999574707998722	Non-hodgkin lymphoma 
aldesleukin	0.333333333333333	0.000221144619286982	0.888888888888889	0.999574707998722	Renal cell carcinoma 
alefacept	0	1.60916410666457e-18	1	0.999953690253642	Pain 
alemtuzumab	0.1	1.68230863100621e-14	0.966666666666667	0.99990992438705	Chronic lymphocytic leukaemia 
alemtuzumab	0.1	1.68230863100621e-14	0.966666666666667	0.99990992438705	Multiple sclerosis 
alogliptin	0	1.6982674071476e-07	1	0.999953690253642	Type-2 diabetes 
alteplase	0.75	0.0415466377319888	0.75	0.993240714802178	Pulmonary embolism 
ambrisentan	0.5	0.0232425048399819	0.833333333333333	0.998712041224032	Pulmonary arterial hypertension 
aminocaproic acid	0.666666666666667	0.0201028406854263	0.777777777777778	0.996106348253381	Bleeding disorder 
aminocaproic acid	0.666666666666667	0.0201028406854263	0.777777777777778	0.996106348253381	Postoperative hemorrhage 
aminoglutethimide	0.5	0.00373315563696858	0.833333333333333	0.998712041224032	Cushing disease 
aminophylline	0.5	0.000232266428389861	0.833333333333333	0.998712041224032	Asthma 
aminophylline	0.5	0.000232266428389861	0.833333333333333	0.998712041224032	Bronchial asthma 
aminosalicylic acid	0.333333333333333	0.00819753592459612	0.888888888888889	0.999574707998722	Inflammatory bowel disease 
aminosalicylic acid	0.333333333333333	0.00819753592459612	0.888888888888889	0.999574707998722	Pulmonary and extrapulmonary tuberculosis 
amlexanox	1	0.045832352270726	0.666666666666667	0.965333637200135	Respiratory tract inflammation 
amphetamine	1.17647058823529	0.0254804334595578	0.607843137254903	0.0198076533013004	Attention deficit hyperactivity disorder 
anagrelide	0	0.00235702249885759	1	0.999953690253642	Thrombocythemia 
anakinra	0	0.0141365755117512	1	0.999953690253642	Rheumatoid arthritis 
anastrozole	0	0.000537770559747784	1	0.999953690253642	Breast cancer 
anti-inhibitor coagulant complex	0.625	0.00127708637346405	0.791666666666667	0.997046280265764	Bleeding disorder 
antithrombin alfa	0.5	0.0469426653691375	0.833333333333333	0.998712041224032	Thrombin deficiency 
aprepitant	0	0.016946622474652	1	0.999953690253642	Nausea 
arbutamine	0	0.000331077306600534	1	0.999953690253642	Coronary artery disease 
argatroban	0	0.0167088726204978	1	0.999953690253642	Thrombosis 
arsenic trioxide	0.7	0.00317314026637559	0.766666666666667	0.995144260454476	Acute lymphoblastic leukaemia 
asenapine	1.10526315789474	0.0387604364148994	0.63157894736842	0.93253798657087	Schizophrenia 
atenolol	0	0.0015147711304251	1	0.999953690253642	Hypertension 
atezolizumab	0	0.00705701740035358	1	0.999953690253642	Melanoma 
atezolizumab	0	0.00705701740035358	1	0.999953690253642	Solid tumour/cancer 
atezolizumab	0	0.00705701740035358	1	0.999953690253642	Ulcer 
atezolizumab	0	0.00705701740035358	1	0.999953690253642	Bronchioalveolar carcinoma 
atovaquone	0	0.0250667285148313	1	0.999953690253642	Fungal infection 
avelumab	0	0.00458187869512901	1	0.999953690253642	Solid tumour/cancer 
avelumab	0	0.00458187869512901	1	0.999953690253642	Merkel cell carcinoma 
axicabtagene ciloleucel	0	0.00397610514522009	1	0.999953690253642	Non-hodgkin lymphoma 
axicabtagene ciloleucel	0	0.00397610514522009	1	0.999953690253642	Follicular lymphoma 
axicabtagene ciloleucel	0	0.00397610514522009	1	0.999953690253642	Mantle cell lymphoma 
axicabtagene ciloleucel	0	0.00397610514522009	1	0.999953690253642	Diffuse large B-cell lymphoma 
axicabtagene ciloleucel	0	0.00397610514522009	1	0.999953690253642	Acute lymphoblastic leukaemia 
axicabtagene ciloleucel	0	0.00397610514522009	1	0.999953690253642	Primary mediastinal B-cell lymphoma 
azathioprine	0.5	0.000401652335492208	0.833333333333333	0.998712041224032	Organ transplant rejection 
balsalazide	0.25	0.000544636099006173	0.916666666666667	0.999755673275368	Inflammatory bowel disease 
baricitinib	0.5	0.00244456361980624	0.833333333333333	0.998712041224032	Rheumatoid arthritis 
basiliximab	0.0833333333333333	9.08665458644764e-19	0.972222222222222	0.999919378224139	Organ transplant rejection 
belatacept	0	0.000227858394338549	1	0.999953690253642	Kidney transplant rejection 
belimumab	0	0.00329523259479362	1	0.999953690253642	Systemic lupus erythematosus 
benazepril	0	0.00742311490913355	1	0.999953690253642	Hypertension 
benralizumab	0.5	0.0279233210938122	0.833333333333333	0.998712041224032	Chronic obstructive pulmonary disease 
benralizumab	0.5	0.0279233210938122	0.833333333333333	0.998712041224032	Asthma 
betaxolol	0	0.00339753793133293	1	0.999953690253642	Hypertension 
bethanidine	0.857142857142857	0.0175418468047631	0.714285714285714	0.986308456643247	Heart arrhythmia 
bevacizumab	0	6.8703844192044e-16	1	0.999953690253642	Glaucoma/ocular hypertension 
bisoprolol	0	0.00259089222578789	1	0.999953690253642	Hypertension 
bivalirudin	0	0.00475262930189151	1	0.999953690253642	Thrombocytopenia 
blinatumomab	0.5	0.0232181578892057	0.833333333333333	0.998712041224032	Acute lymphoblastic leukaemia 
bosentan	0.5	0.0416362999677639	0.833333333333333	0.998712041224032	Pulmonary arterial hypertension 
bromfenac	0	0.000139709790549087	1	0.999953690253642	Postoperative inflammation 
bufexamac	0.5	0.00156539528584946	0.833333333333333	0.998712041224032	Dermatitis 
calcifediol	0	0.0343387827006148	1	0.999953690253642	Vitamin D deficiency 
calcipotriol	0	0.0268132799920443	1	0.999953690253642	Psoriasis vulgaris 
calcitriol	0.5	0.0488162610446166	0.833333333333333	0.998712041224032	Congenital alopecia 
canakinumab	0	0.0037861140718788	1	0.999953690253642	Urticaria 
canakinumab	0	0.0037861140718788	1	0.999953690253642	Rheumatoid arthritis 
canakinumab	0	0.0037861140718788	1	0.999953690253642	Cryopyrin-associated periodic syndromes 
canakinumab	0	0.0037861140718788	1	0.999953690253642	Vasculitis 
cannabidiol	1.07894736842105	0.000403845964527555	0.640350877192983	0.942753313740161	Dravet syndrome 
cannabidiol	1.07894736842105	0.000403845964527555	0.640350877192983	0.942753313740161	LennoxGastaut syndrome 
capecitabine	0	0.00330463889886464	1	0.999953690253642	Breast cancer 
capecitabine	0	0.00330463889886464	1	0.999953690253642	Colorectal cancer 
captopril	0.4	4.75400800849759e-05	0.866666666666667	0.999337447943734	Hypertension 
carbidopa	1	0.045787005477403	0.666666666666667	0.965333637200135	Parkinson disease 
carbocisteine	0	6.63496460862948e-06	1	0.999953690253642	Chronic obstructive pulmonary disease 
carfilzomib	0.666666666666667	0.027787398263431	0.777777777777778	0.996106348253381	Multiple myeloma 
carprofen	0	0.000619610240715218	1	0.999953690253642	Pain 
carteolol	0	0.0100780101243638	1	0.999953690253642	Glaucoma/ocular hypertension 
castor oil	0.5	0.0191661555841579	0.833333333333333	0.998712041224032	Constipation 
catumaxomab	0.285714285714286	1.37725503085178e-08	0.904761904761905	0.9996901579842	Malignant pleural effusion 
cefazolin	0	2.93425841295331e-05	1	0.999953690253642	Bacterial infection 
cemiplimab	0	0.00697280550607278	1	0.999953690253642	Cutaneous squamous cell carcinoma 
cetuximab	0.0909090909090909	1.53511619094078e-13	0.96969696969697	0.99991521071131	Colorectal cancer 
chlorothiazide	0.666666666666667	0.00931121196145703	0.777777777777778	0.996106348253381	Congestive heart failure 
chlorprothixene	1.08333333333333	0.0480891793547118	0.63888888888889	0.941157896577018	Psychotic disorder 
cholecalciferol	0	0.0168486203632545	1	0.999953690253642	Vitamin D deficiency 
choline magnesium trisalicylate	0	0.000631529596826754	1	0.999953690253642	Osteoarthritis 
cilazapril	0	0.0148474736925965	1	0.999953690253642	Congestive heart failure 
cilostazol	0	0.00313750194961989	1	0.999953690253642	Intermittent claudication 
cisapride	0.75	0.0062393105671946	0.75	0.993240714802178	Gastrointestinal disease 
cisapride	0.75	0.0062393105671946	0.75	0.993240714802178	Gastroesophageal reflux disease 
cisplatin	0.25	6.20447061794629e-06	0.916666666666667	0.999755673275368	Solid tumour/cancer 
citalopram	0.5	0.0225403497883854	0.833333333333333	0.998712041224032	Depression 
clenbuterol	0.2	4.82160996353204e-07	0.933333333333333	0.999824804040368	Chronic breathing disorder 
clomipramine	0.666666666666667	0.00230037279633075	0.777777777777778	0.996106348253381	Depression 
copper	0.955882352941177	3.69629336802291e-06	0.681372549019608	0.973921935575015	Contraception 
curcumin	0.4	0.00431578119395459	0.866666666666667	0.999337447943734	Solid tumour/cancer 
cyanocobalamin	0.833333333333333	9.45582422722814e-05	0.722222222222222	0.988290836073263	Anemia 
cyclobenzaprine	0.888888888888889	0.0336052440482751	0.703703703703704	0.983142716498906	Depression 
dabigatran etexilate	0	0.013472050856726	1	0.999953690253642	Venous thromboembolism 
danazol	0.4	0.00891380748804811	0.866666666666667	0.999337447943734	Breast cancer 
